fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1844,0.8411,0.2688,,,,ixplore-binarised,0.0,0
0.1833,0.8431,0.2678,0.1922,0.8295,0.282,ixplore-binarised,0.3,0
0.183,0.8432,0.2675,0.196,0.8236,0.2866,ixplore-binarised,0.3,1
0.1836,0.8433,0.2683,0.1951,0.822,0.2856,ixplore-binarised,0.3,2
0.1827,0.8447,0.2673,0.1943,0.8242,0.2866,ixplore-binarised,0.3,3
0.1833,0.8437,0.268,0.193,0.8245,0.2823,ixplore-binarised,0.3,4
0.1818,0.8504,0.2669,0.2033,0.8159,0.2993,ixplore-binarised,0.6,0
0.1813,0.853,0.266,0.2044,0.8157,0.3014,ixplore-binarised,0.6,1
0.1804,0.8539,0.2657,0.2045,0.8124,0.3019,ixplore-binarised,0.6,2
0.1794,0.8531,0.2646,0.2033,0.8169,0.3007,ixplore-binarised,0.6,3
0.1812,0.85,0.2657,0.2037,0.8137,0.3006,ixplore-binarised,0.6,4
0.155,0.9095,0.2391,0.2559,0.7576,0.3881,ixplore-binarised,0.9,0
0.1604,0.9092,0.2435,0.2583,0.7628,0.3891,ixplore-binarised,0.9,1
0.1602,0.906,0.2439,0.2552,0.7624,0.3868,ixplore-binarised,0.9,2
0.1621,0.9137,0.2459,0.2545,0.7701,0.3845,ixplore-binarised,0.9,3
0.1649,0.9091,0.2479,0.2686,0.7512,0.4009,ixplore-binarised,0.9,4
