fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2085,0.8038,0.289,,,,emirt,0.0,0
0.2091,0.804,0.2892,0.2106,0.8027,0.2918,emirt,0.3,0
0.2079,0.8043,0.2881,0.2134,0.8004,0.2954,emirt,0.3,1
0.2081,0.8047,0.2888,0.2123,0.7968,0.2944,emirt,0.3,2
0.2075,0.806,0.288,0.2127,0.7969,0.2971,emirt,0.3,3
0.2084,0.8043,0.2889,0.2109,0.8008,0.2922,emirt,0.3,4
0.2073,0.8102,0.2875,0.2156,0.7955,0.2986,emirt,0.6,0
0.2059,0.813,0.2854,0.2169,0.7945,0.3014,emirt,0.6,1
0.2056,0.8125,0.2863,0.2153,0.7948,0.2994,emirt,0.6,2
0.2056,0.8109,0.286,0.2158,0.7946,0.3008,emirt,0.6,3
0.2067,0.809,0.2867,0.2147,0.7981,0.2978,emirt,0.6,4
0.1978,0.8328,0.2737,0.2351,0.7751,0.3241,emirt,0.9,0
0.1967,0.8327,0.2705,0.234,0.7749,0.3219,emirt,0.9,1
0.2003,0.8339,0.2763,0.233,0.7759,0.3236,emirt,0.9,2
0.196,0.8347,0.2722,0.2325,0.777,0.3219,emirt,0.9,3
0.1988,0.8328,0.2734,0.2369,0.7738,0.3251,emirt,0.9,4
