fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1939,0.8329,0.2599,,,,pca-linear,0.0,0
0.2188,0.8257,0.2716,0.2273,0.8126,0.2801,pca-linear,0.3,0
0.2188,0.8255,0.2714,0.2279,0.8129,0.2814,pca-linear,0.3,1
0.2182,0.8257,0.2711,0.2278,0.8104,0.2813,pca-linear,0.3,2
0.2184,0.8278,0.2713,0.2275,0.813,0.2807,pca-linear,0.3,3
0.2175,0.8274,0.2704,0.2289,0.8075,0.2832,pca-linear,0.3,4
0.2535,0.799,0.2986,0.2626,0.7802,0.3091,pca-linear,0.6,0
0.2543,0.7994,0.2992,0.2626,0.7809,0.3086,pca-linear,0.6,1
0.2512,0.7991,0.2973,0.2632,0.7755,0.3108,pca-linear,0.6,2
0.2533,0.7986,0.2989,0.2627,0.7809,0.3092,pca-linear,0.6,3
0.2505,0.8002,0.2968,0.2636,0.7726,0.3115,pca-linear,0.6,4
0.2894,0.7446,0.3365,0.3025,0.707,0.3526,pca-linear,0.9,0
0.293,0.7403,0.339,0.3045,0.7079,0.3521,pca-linear,0.9,1
0.2903,0.7393,0.3377,0.3032,0.7075,0.3526,pca-linear,0.9,2
0.2921,0.7357,0.3384,0.3041,0.7037,0.3525,pca-linear,0.9,3
0.2915,0.7472,0.3383,0.3042,0.71,0.3524,pca-linear,0.9,4
