candidateId,x,y
1769,-0.098,0.113
1770,-0.070,0.199
1783,0.268,-0.014
1786,0.082,0.047
1787,0.175,0.004
1788,-0.134,-0.027
1791,-0.191,-0.059
1822,0.074,0.169
1838,0.044,-0.026
1840,-0.226,-0.031
1845,0.385,0.039
1856,0.415,-0.035
1868,-0.053,0.194
1871,0.192,0.018
1883,-0.243,-0.033
1885,0.246,-0.014
1893,0.249,0.062
1898,0.290,0.001
1904,-0.306,0.044
1906,-0.281,-0.158
1918,0.039,0.086
1919,0.240,0.254
1926,0.284,-0.007
1927,0.107,0.178
1928,-0.105,-0.115
1929,-0.005,0.067
1932,0.161,0.197
1941,0.141,-0.037
1942,0.160,0.027
1946,-0.170,-0.047
1947,-0.201,0.059
1948,0.143,0.005
1955,0.027,0.056
1964,-0.199,-0.040
1980,-0.234,-0.029
1982,0.060,0.171
1994,-0.399,-0.067
2009,-0.200,-0.061
2010,0.417,-0.114
2011,-0.197,-0.008
2019,0.376,0.049
2044,0.334,0.062
2046,0.327,-0.229
2048,0.216,0.009
2050,0.064,0.023
2055,0.079,0.002
2057,-0.243,-0.031
2058,0.094,0.119
2060,0.090,0.019
2061,-0.057,-0.057
2062,0.249,0.282
2071,0.049,0.118
2072,0.196,-0.046
2078,0.123,0.003
2081,0.341,-0.099
2089,0.375,-0.172
2096,-0.022,0.005
2097,0.023,0.079
2106,-0.083,0.162
2111,0.018,0.120
2112,0.151,0.200
2129,0.054,0.039
2132,0.219,-0.084
2150,-0.083,-0.040
2160,0.245,-0.165
2166,0.269,-0.213
2172,0.209,-0.075
2174,-0.166,0.096
2177,0.272,0.024
2187,0.050,-0.015
2189,0.163,0.244
2201,0.175,0.204
2217,-0.044,0.033
2219,0.175,-0.009
2232,0.201,0.270
2236,0.106,0.046
2241,0.042,0.023
2245,-0.298,-0.013
2246,0.258,-0.042
2253,0.287,-0.013
2260,-0.355,-0.021
2263,0.009,0.033
2270,0.150,0.009
2273,-0.221,0.019
2274,0.303,0.016
2278,0.255,-0.053
2281,0.157,0.193
2289,0.015,-0.024
2293,0.231,-0.032
2294,-0.298,-0.121
2298,0.251,-0.019
2312,-0.213,-0.037
2316,0.075,0.223
2320,0.238,0.082
2322,-0.015,-0.046
2324,-0.042,-0.187
2331,0.171,0.180
2334,-0.179,-0.010
2338,-0.120,0.025
2339,0.133,0.024
2341,0.300,-0.089
