candidateId,x,y
9,0.087,0.766
16,-0.134,-0.210
25,0.024,0.102
30,0.868,-0.342
31,0.743,-0.094
33,0.126,0.144
41,0.382,0.520
42,0.229,0.052
44,-0.831,0.064
49,0.519,0.514
58,0.348,0.088
59,0.377,0.544
67,0.850,0.219
68,0.825,-0.386
74,-0.876,-0.104
76,0.434,-0.605
95,-0.013,-0.035
104,-0.425,-0.294
106,0.790,-0.397
109,-0.319,0.414
111,0.544,0.752
114,0.430,0.473
117,0.074,-0.151
119,0.837,-0.168
120,-0.387,-0.216
122,-0.340,-0.245
123,0.785,-0.504
124,0.124,0.490
128,-0.670,-0.163
132,-0.418,-0.037
133,0.619,-0.024
134,0.375,0.330
145,0.509,0.773
148,0.575,-0.350
160,0.129,-0.119
171,-0.749,0.032
172,-0.562,-0.405
174,-0.356,-0.284
179,0.126,0.133
182,0.769,-0.383
185,0.014,-0.025
187,-0.153,-0.218
188,0.142,0.140
189,0.152,0.149
195,0.600,-0.222
206,0.644,-0.223
211,0.240,0.152
214,0.674,0.043
216,0.181,-0.075
217,0.759,-0.107
221,0.750,-0.366
238,-0.003,-0.116
252,-0.158,0.319
253,0.053,0.125
257,0.527,-0.387
264,0.019,-0.193
271,-0.318,-0.094
277,-0.286,-0.010
285,-0.233,-0.333
292,-0.230,0.132
295,0.594,0.092
297,0.873,-0.367
299,0.801,-0.110
301,0.193,0.166
308,-0.584,-0.079
313,0.537,-0.128
325,0.093,0.113
331,0.458,0.682
336,0.096,0.119
339,-0.014,0.373
340,0.017,0.458
341,-0.841,0.333
342,0.648,0.493
346,0.105,-0.196
357,0.549,0.653
368,-0.597,-0.311
374,-0.090,0.624
386,0.210,0.022
388,0.090,0.209
389,0.269,0.299
391,0.286,-0.152
392,0.881,-0.566
395,-0.355,-0.267
398,-0.005,-0.124
404,0.842,-0.296
406,0.192,0.067
409,0.483,0.628
411,0.743,0.107
433,-0.524,-0.115
440,0.593,-0.081
449,0.172,0.305
450,0.521,-0.514
458,0.821,-0.270
466,0.001,0.182
469,-0.436,-0.122
480,0.155,0.296
492,0.877,-0.294
506,0.036,-0.046
520,0.856,-0.455
521,-0.006,-0.140
525,-0.238,0.248
535,0.700,-0.045
536,0.731,0.022
539,0.006,-0.155
545,0.162,-0.500
557,-0.139,-0.077
558,0.735,-0.173
563,0.431,0.044
571,0.780,-0.282
572,0.756,-0.477
576,0.182,0.182
596,-0.689,-0.071
598,0.541,0.084
605,0.571,0.121
614,0.229,0.131
616,0.130,0.329
617,0.054,0.140
625,0.715,-0.072
628,0.213,0.245
636,0.241,0.658
637,0.058,0.089
639,0.470,-0.285
650,0.078,0.182
668,0.517,-0.029
670,-0.386,-0.004
672,0.470,-0.272
674,0.800,-0.118
686,0.392,0.484
690,-0.711,0.079
699,0.063,0.551
701,0.025,0.475
702,0.227,0.139
707,0.535,-0.724
712,0.186,0.135
715,-0.368,0.395
716,-0.624,-0.149
731,0.830,-0.306
734,0.355,-0.435
741,0.080,0.094
749,0.278,0.447
756,0.644,0.017
760,0.766,0.081
776,0.768,-0.415
780,0.017,0.406
786,0.139,0.185
795,0.384,0.519
798,0.207,-0.241
806,0.602,-0.261
810,0.815,-0.132
813,0.841,-0.225
814,0.144,0.257
823,-0.011,0.011
825,-0.184,-0.236
834,0.082,0.032
835,0.092,-0.110
838,-0.097,-0.102
841,0.545,-0.015
846,-0.537,-0.098
847,0.180,0.457
848,0.857,-0.289
857,0.299,0.412
863,0.533,0.674
873,0.395,0.644
875,0.397,0.591
876,0.704,-0.549
880,0.089,-0.031
882,-0.174,-0.184
889,0.119,-0.033
900,0.086,0.216
905,-0.570,-0.180
911,0.226,0.340
912,-0.864,-0.067
914,-0.203,0.768
915,-0.298,-0.382
918,0.801,-0.042
930,-0.169,0.386
939,0.734,0.220
950,0.571,0.192
957,-0.682,0.196
969,0.608,-0.779
981,0.629,0.733
983,-0.876,-0.149
990,0.157,0.224
991,0.246,0.587
1007,-0.412,-0.078
1012,-0.194,0.686
1018,0.528,-0.262
1020,-0.425,-0.175
1021,0.337,0.049
1026,0.484,0.160
1048,-0.461,-0.290
1067,0.811,-0.463
1071,-0.537,-0.539
1072,-0.172,0.014
1077,0.153,0.262
1094,-0.137,0.048
1098,0.323,0.210
1103,0.413,-0.172
1113,0.752,-0.485
1117,0.567,0.042
1138,0.827,-0.332
1145,0.896,0.044
1150,0.179,-0.130
1156,-0.499,0.041
1164,0.602,-0.009
1172,0.691,-0.464
1174,0.295,0.697
1176,0.254,0.315
1178,-0.578,-0.275
1183,0.677,-0.037
1196,0.650,-0.002
1204,-0.489,0.128
1214,-0.376,-0.423
1231,-0.074,0.311
1232,0.263,-0.056
1240,0.807,-0.438
1242,0.399,0.228
1249,0.072,0.009
1251,0.163,0.194
1265,0.830,-0.056
1266,0.870,-0.279
1268,0.295,-0.097
1273,0.216,-0.035
1282,0.634,0.508
1290,0.289,0.204
1293,0.503,0.104
1297,-0.154,0.757
1306,0.139,-0.209
1316,0.436,0.211
1328,-0.652,-0.116
1331,0.067,0.115
1334,0.885,-0.327
1349,-0.710,-0.059
1359,0.147,0.248
1368,0.484,0.617
1373,0.002,-0.111
1374,0.110,0.128
1382,0.277,0.048
1391,0.129,0.427
1395,0.825,-0.263
1396,-0.137,-0.341
1430,0.840,-0.329
1433,0.189,0.329
1442,0.455,0.541
1453,0.257,0.154
1456,0.843,-0.351
1458,-0.818,0.031
1464,-0.282,-0.170
1466,0.105,0.144
1471,0.823,-0.488
1480,0.822,-0.391
1497,-0.448,-0.011
1502,-0.851,-0.337
1505,0.339,0.174
1531,0.248,0.120
1533,-0.131,0.602
1538,0.676,0.605
1553,0.062,0.169
1561,-0.644,0.837
1564,-0.399,-0.565
1569,-0.659,0.036
1574,-0.108,-0.035
1575,0.780,-0.266
1577,-0.252,-0.345
1585,-0.681,0.034
1592,0.223,0.109
1596,-0.423,0.027
1610,-0.232,0.228
1611,0.513,0.375
1612,0.425,0.663
1651,-0.812,-0.065
1659,-0.059,-0.165
1665,-0.889,-0.062
1666,0.506,0.691
1670,-0.052,-0.062
1682,0.769,-0.355
1694,0.624,0.226
1702,-0.305,-0.327
1706,0.019,-0.145
1728,0.248,0.282
1733,0.412,0.558
1740,-0.106,0.013
1750,0.831,-0.297
1754,0.788,0.083
1755,0.849,-0.301
1760,-0.345,-0.175
1761,-0.263,-0.188
1769,-0.228,0.365
1770,-0.135,0.637
1783,0.652,-0.089
1786,0.200,0.135
1787,0.421,-0.017
1788,-0.360,-0.112
1791,-0.515,-0.221
1822,0.219,0.550
1838,0.084,-0.107
1840,-0.600,-0.130
1845,0.847,0.063
1856,0.861,-0.170
1868,-0.092,0.624
1871,0.470,0.037
1883,-0.640,-0.131
1885,0.601,-0.080
1893,0.635,0.191
1898,0.708,-0.038
1904,-0.763,0.147
1906,-0.768,-0.555
1918,0.107,0.269
1919,0.632,0.769
1926,0.692,-0.063
1927,0.303,0.575
1928,-0.317,-0.415
1929,-0.008,0.208
1932,0.447,0.641
1941,0.322,-0.157
1942,0.390,0.067
1946,-0.460,-0.181
1947,-0.507,0.186
1948,0.339,-0.009
1955,0.067,0.169
1964,-0.529,-0.153
1980,-0.621,-0.124
1982,0.186,0.555
1994,-0.884,-0.178
2009,-0.540,-0.227
2010,0.855,-0.422
2011,-0.513,-0.041
2019,0.842,0.100
2044,0.798,0.161
2046,0.716,-0.761
2048,0.527,0.000
2050,0.149,0.055
2055,0.179,-0.015
2057,-0.644,-0.129
2058,0.255,0.381
2060,0.211,0.043
2061,-0.176,-0.209
2062,0.632,0.806
2071,0.141,0.376
2072,0.457,-0.185
2078,0.290,-0.012
2081,0.779,-0.389
2089,0.814,-0.616
2096,-0.070,-0.001
2097,0.065,0.246
2106,-0.175,0.522
2111,0.064,0.388
2112,0.419,0.646
2129,0.129,0.113
2132,0.507,-0.321
2150,-0.235,-0.151
2160,0.557,-0.606
2166,0.593,-0.736
2172,0.484,-0.290
2174,-0.405,0.304
2177,0.676,0.051
2187,0.102,-0.074
2189,0.445,0.751
2201,0.482,0.657
2217,-0.116,0.094
2219,0.416,-0.063
2232,0.526,0.791
2236,0.261,0.135
