fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1849,0.8504,0.2616,,,,lsirm,0.0,0
0.1836,0.853,0.2565,0.1963,0.828,0.2758,lsirm,0.3,0
0.183,0.8532,0.2554,0.1989,0.8282,0.2778,lsirm,0.3,1
0.1821,0.8536,0.256,0.1958,0.8267,0.276,lsirm,0.3,2
0.188,0.8511,0.2621,0.203,0.8192,0.285,lsirm,0.3,3
0.1883,0.8509,0.2622,0.2024,0.8239,0.2825,lsirm,0.3,4
0.1949,0.8477,0.2647,0.2156,0.8103,0.2932,lsirm,0.6,0
0.1925,0.8522,0.2631,0.2164,0.8107,0.296,lsirm,0.6,1
0.192,0.8528,0.2628,0.2152,0.809,0.295,lsirm,0.6,2
0.1874,0.8579,0.2557,0.212,0.8131,0.2904,lsirm,0.6,3
0.1924,0.8507,0.2626,0.2143,0.8118,0.2929,lsirm,0.6,4
0.2391,0.8018,0.309,0.2768,0.7292,0.3542,lsirm,0.9,0
0.2416,0.7937,0.3122,0.2799,0.7223,0.3594,lsirm,0.9,1
0.236,0.8114,0.3061,0.2752,0.7351,0.354,lsirm,0.9,2
0.2336,0.8128,0.302,0.2748,0.7312,0.3522,lsirm,0.9,3
0.2403,0.799,0.3085,0.2798,0.7274,0.3556,lsirm,0.9,4
