n_observed,mae_map,mae_mean,mae_post
5,0.23129094830168942,0.22554722394815255,0.24394631756372068
10,0.21113888876418127,0.2067108940834504,0.21902491414653197
15,0.202286741593382,0.19830017266981625,0.20780453936533663
30,0.19342080433254422,0.1904553321922452,0.19613864234356754
45,0.19149486326509432,0.189413597337021,0.19325546029734642
60,0.18942041373431362,0.18775848795258054,0.1906532537332544
70,0.19243797248109173,0.19100041783902766,0.1934614281101442
