id,party,color
538,group-1,#ff7f0e
541,group-0,#1f77b4
544,group-1,#ff7f0e
547,group-1,#ff7f0e
549,ungrouped,#999999
550,group-1,#ff7f0e
553,group-1,#ff7f0e
554,group-1,#ff7f0e
555,group-1,#ff7f0e
556,group-1,#ff7f0e
557,group-1,#ff7f0e
558,group-1,#ff7f0e
563,group-1,#ff7f0e
564,group-0,#1f77b4
565,group-0,#1f77b4
566,group-0,#1f77b4
568,group-0,#1f77b4
569,group-0,#1f77b4
572,group-1,#ff7f0e
573,group-1,#ff7f0e
575,group-1,#ff7f0e
586,group-1,#ff7f0e
587,group-0,#1f77b4
588,group-0,#1f77b4
589,group-0,#1f77b4
590,group-0,#1f77b4
593,group-1,#ff7f0e
594,group-1,#ff7f0e
595,group-0,#1f77b4
596,group-0,#1f77b4
603,group-0,#1f77b4
605,group-0,#1f77b4
606,group-0,#1f77b4
607,group-1,#ff7f0e
609,group-1,#ff7f0e
610,group-1,#ff7f0e
611,group-0,#1f77b4
614,group-0,#1f77b4
616,group-1,#ff7f0e
618,group-0,#1f77b4
623,group-1,#ff7f0e
625,group-0,#1f77b4
635,group-1,#ff7f0e
640,group-1,#ff7f0e
642,group-0,#1f77b4
643,group-0,#1f77b4
649,group-1,#ff7f0e
652,group-1,#ff7f0e
655,group-1,#ff7f0e
669,group-1,#ff7f0e
674,group-1,#ff7f0e
678,group-1,#ff7f0e
680,group-1,#ff7f0e
681,group-0,#1f77b4
682,group-1,#ff7f0e
685,group-1,#ff7f0e
687,group-1,#ff7f0e
702,group-1,#ff7f0e
706,group-0,#1f77b4
710,group-1,#ff7f0e
711,group-0,#1f77b4
712,group-0,#1f77b4
720,group-0,#1f77b4
729,group-0,#1f77b4
731,group-0,#1f77b4
737,group-0,#1f77b4
742,group-0,#1f77b4
743,group-1,#ff7f0e
746,group-0,#1f77b4
747,group-1,#ff7f0e
758,group-1,#ff7f0e
760,group-0,#1f77b4
761,group-0,#1f77b4
765,group-0,#1f77b4
773,group-1,#ff7f0e
778,group-0,#1f77b4
781,group-1,#ff7f0e
786,group-1,#ff7f0e
789,group-0,#1f77b4
792,group-1,#ff7f0e
794,group-1,#ff7f0e
795,group-1,#ff7f0e
799,group-0,#1f77b4
802,group-1,#ff7f0e
803,group-1,#ff7f0e
804,group-0,#1f77b4
808,group-0,#1f77b4
814,group-1,#ff7f0e
817,group-0,#1f77b4
824,group-1,#ff7f0e
827,group-0,#1f77b4
831,group-1,#ff7f0e
838,ungrouped,#999999
841,group-1,#ff7f0e
848,group-1,#ff7f0e
852,group-1,#ff7f0e
857,group-0,#1f77b4
860,group-1,#ff7f0e
862,group-1,#ff7f0e
864,group-1,#ff7f0e
869,group-1,#ff7f0e
875,group-1,#ff7f0e
880,group-0,#1f77b4
881,group-0,#1f77b4
900,group-1,#ff7f0e
901,group-1,#ff7f0e
903,group-1,#ff7f0e
910,group-1,#ff7f0e
923,group-1,#ff7f0e
927,group-1,#ff7f0e
929,group-1,#ff7f0e
930,group-1,#ff7f0e
931,group-1,#ff7f0e
932,group-1,#ff7f0e
934,group-0,#1f77b4
936,group-1,#ff7f0e
940,group-1,#ff7f0e
941,group-1,#ff7f0e
942,group-1,#ff7f0e
943,group-0,#1f77b4
948,group-0,#1f77b4
951,group-1,#ff7f0e
961,group-1,#ff7f0e
971,group-1,#ff7f0e
973,group-1,#ff7f0e
976,group-1,#ff7f0e
983,group-0,#1f77b4
990,group-0,#1f77b4
991,group-0,#1f77b4
995,group-1,#ff7f0e
1006,group-1,#ff7f0e
1009,group-1,#ff7f0e
1012,group-0,#1f77b4
1013,group-0,#1f77b4
1015,group-0,#1f77b4
1019,group-0,#1f77b4
1020,group-0,#1f77b4
1022,group-0,#1f77b4
1031,group-1,#ff7f0e
1032,group-1,#ff7f0e
1038,group-1,#ff7f0e
1039,group-0,#1f77b4
1042,group-1,#ff7f0e
1052,group-0,#1f77b4
1055,group-0,#1f77b4
1056,group-1,#ff7f0e
1059,group-1,#ff7f0e
1061,group-1,#ff7f0e
1071,group-1,#ff7f0e
1081,group-1,#ff7f0e
1082,group-0,#1f77b4
1084,group-1,#ff7f0e
1089,group-1,#ff7f0e
1090,group-1,#ff7f0e
1091,group-0,#1f77b4
1092,group-0,#1f77b4
1094,group-0,#1f77b4
1097,group-0,#1f77b4
1105,group-0,#1f77b4
1112,group-1,#ff7f0e
1113,group-1,#ff7f0e
1117,group-0,#1f77b4
1127,group-0,#1f77b4
1128,group-0,#1f77b4
1131,group-1,#ff7f0e
1133,group-1,#ff7f0e
1136,group-1,#ff7f0e
1146,group-1,#ff7f0e
1147,group-1,#ff7f0e
1151,group-1,#ff7f0e
1155,group-1,#ff7f0e
1156,group-1,#ff7f0e
1158,group-1,#ff7f0e
1159,group-0,#1f77b4
1163,group-1,#ff7f0e
1167,group-1,#ff7f0e
1169,group-1,#ff7f0e
1175,group-1,#ff7f0e
1176,group-0,#1f77b4
1179,group-1,#ff7f0e
1180,group-1,#ff7f0e
1187,group-1,#ff7f0e
1192,group-0,#1f77b4
1193,group-1,#ff7f0e
1194,group-0,#1f77b4
1195,group-0,#1f77b4
1201,group-1,#ff7f0e
1203,group-0,#1f77b4
1205,group-1,#ff7f0e
1208,group-0,#1f77b4
1211,group-0,#1f77b4
1212,group-0,#1f77b4
1216,group-1,#ff7f0e
1218,group-0,#1f77b4
1223,group-0,#1f77b4
1227,group-0,#1f77b4
1234,group-0,#1f77b4
1238,group-1,#ff7f0e
1247,group-1,#ff7f0e
1249,group-0,#1f77b4
1253,group-1,#ff7f0e
1257,group-1,#ff7f0e
1258,group-1,#ff7f0e
1259,group-1,#ff7f0e
1260,group-1,#ff7f0e
1263,group-1,#ff7f0e
1268,group-1,#ff7f0e
1270,group-0,#1f77b4
1273,group-1,#ff7f0e
1274,group-1,#ff7f0e
1281,group-1,#ff7f0e
1282,group-0,#1f77b4
1290,group-1,#ff7f0e
1299,group-1,#ff7f0e
1300,group-0,#1f77b4
1301,group-1,#ff7f0e
1303,group-1,#ff7f0e
1306,group-1,#ff7f0e
1312,group-0,#1f77b4
1314,group-0,#1f77b4
1315,group-0,#1f77b4
1324,group-0,#1f77b4
1326,group-1,#ff7f0e
1335,group-1,#ff7f0e
1338,group-1,#ff7f0e
1344,group-1,#ff7f0e
1347,group-1,#ff7f0e
1356,group-1,#ff7f0e
1367,group-1,#ff7f0e
1368,group-1,#ff7f0e
1369,group-1,#ff7f0e
1395,group-1,#ff7f0e
1398,group-1,#ff7f0e
1403,group-1,#ff7f0e
1416,group-1,#ff7f0e
1425,group-1,#ff7f0e
1431,group-1,#ff7f0e
1445,group-1,#ff7f0e
1447,group-1,#ff7f0e
1461,group-1,#ff7f0e
1464,group-1,#ff7f0e
1466,group-1,#ff7f0e
1471,group-1,#ff7f0e
1478,group-0,#1f77b4
1486,group-1,#ff7f0e
1496,group-1,#ff7f0e
1500,group-1,#ff7f0e
1504,group-1,#ff7f0e
1508,group-1,#ff7f0e
1509,group-1,#ff7f0e
1511,group-1,#ff7f0e
1517,group-1,#ff7f0e
1522,group-1,#ff7f0e
1526,group-1,#ff7f0e
1533,group-1,#ff7f0e
1537,group-1,#ff7f0e
1566,ungrouped,#999999
1570,group-1,#ff7f0e
1578,group-1,#ff7f0e
1581,group-1,#ff7f0e
1591,group-1,#ff7f0e
1598,group-1,#ff7f0e
1608,group-1,#ff7f0e
1610,group-1,#ff7f0e
1628,group-1,#ff7f0e
1644,group-1,#ff7f0e
1650,group-1,#ff7f0e
1655,group-1,#ff7f0e
1671,group-1,#ff7f0e
1674,group-1,#ff7f0e
1685,group-1,#ff7f0e
