fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1779,0.8405,0.2518,,,,vae-logistic,0.0,0
0.178,0.8419,0.2515,0.1883,0.8222,0.2648,vae-logistic,0.3,0
0.1786,0.8414,0.2515,0.1892,0.8226,0.2655,vae-logistic,0.3,1
0.1768,0.8426,0.2506,0.1891,0.8225,0.2665,vae-logistic,0.3,2
0.1779,0.8438,0.2513,0.1887,0.8244,0.2652,vae-logistic,0.3,3
0.1773,0.8438,0.2504,0.1906,0.8206,0.2679,vae-logistic,0.3,4
0.1769,0.8481,0.2489,0.1956,0.8129,0.2731,vae-logistic,0.6,0
0.1791,0.8413,0.2505,0.1953,0.8168,0.2714,vae-logistic,0.6,1
0.1742,0.8493,0.2468,0.1951,0.8133,0.2743,vae-logistic,0.6,2
0.178,0.8464,0.2502,0.1959,0.8137,0.2726,vae-logistic,0.6,3
0.1756,0.8498,0.2472,0.1965,0.814,0.2746,vae-logistic,0.6,4
0.161,0.8766,0.2287,0.2291,0.7676,0.3171,vae-logistic,0.9,0
0.1664,0.8704,0.2344,0.2332,0.7647,0.3195,vae-logistic,0.9,1
0.1637,0.8736,0.2311,0.2329,0.7665,0.321,vae-logistic,0.9,2
0.1729,0.8638,0.2419,0.2415,0.753,0.3295,vae-logistic,0.9,3
0.1549,0.8825,0.2257,0.2241,0.7701,0.3168,vae-logistic,0.9,4
