fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2037,0.8344,0.2809,,,,kernel-pca,0.0,0
0.2032,0.8337,0.2803,0.2124,0.8177,0.2926,kernel-pca,0.3,0
0.2037,0.8342,0.2805,0.214,0.816,0.2948,kernel-pca,0.3,1
0.2026,0.8344,0.2795,0.2141,0.817,0.2954,kernel-pca,0.3,2
0.2037,0.8342,0.2806,0.2132,0.817,0.2933,kernel-pca,0.3,3
0.2025,0.8349,0.2793,0.2151,0.8135,0.2968,kernel-pca,0.3,4
0.2002,0.8383,0.2763,0.218,0.8077,0.3006,kernel-pca,0.6,0
0.2028,0.8341,0.2789,0.2185,0.809,0.3,kernel-pca,0.6,1
0.1997,0.8377,0.2761,0.2181,0.8071,0.3018,kernel-pca,0.6,2
0.2022,0.8373,0.2783,0.2179,0.8099,0.3,kernel-pca,0.6,3
0.1994,0.8401,0.2752,0.2193,0.8072,0.303,kernel-pca,0.6,4
0.189,0.8541,0.2604,0.2486,0.763,0.3396,kernel-pca,0.9,0
0.1867,0.8601,0.258,0.2485,0.7646,0.3414,kernel-pca,0.9,1
0.1855,0.8569,0.2587,0.248,0.7622,0.3417,kernel-pca,0.9,2
0.1876,0.8546,0.2613,0.246,0.7645,0.3387,kernel-pca,0.9,3
0.1885,0.8515,0.262,0.2477,0.762,0.3403,kernel-pca,0.9,4
