fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.2111,0.803,0.2895,,,,umap-logistic,0.0,0
0.1937,0.8254,0.2747,0.2017,0.8109,0.2845,umap-logistic,0.3,0
0.1962,0.8221,0.2769,0.2022,0.8118,0.2857,umap-logistic,0.3,1
0.1949,0.8229,0.2761,0.2023,0.812,0.2846,umap-logistic,0.3,2
0.1956,0.8238,0.2767,0.2029,0.8121,0.2855,umap-logistic,0.3,3
0.1945,0.8239,0.2758,0.2044,0.8082,0.2887,umap-logistic,0.3,4
0.1971,0.8237,0.2777,0.2123,0.7956,0.2965,umap-logistic,0.6,0
0.198,0.8208,0.2778,0.2097,0.8007,0.2943,umap-logistic,0.6,1
0.1984,0.8173,0.2786,0.2143,0.793,0.2987,umap-logistic,0.6,2
0.1983,0.8231,0.2789,0.2133,0.7952,0.2978,umap-logistic,0.6,3
0.197,0.8221,0.2772,0.2142,0.7933,0.2996,umap-logistic,0.6,4
0.2241,0.7992,0.2966,0.2688,0.7247,0.3566,umap-logistic,0.9,0
0.2263,0.7991,0.2987,0.2679,0.7227,0.3557,umap-logistic,0.9,1
0.2224,0.7998,0.2972,0.2687,0.7208,0.3585,umap-logistic,0.9,2
0.2262,0.7947,0.3004,0.2657,0.7244,0.3509,umap-logistic,0.9,3
0.2274,0.7919,0.3004,0.2719,0.7163,0.3583,umap-logistic,0.9,4
