candidateId,x,y
1761,-0.189,-0.121
1769,-0.199,0.245
1770,-0.143,0.437
1783,0.529,-0.031
1786,0.156,0.102
1787,0.342,0.007
1788,-0.271,-0.071
1791,-0.385,-0.145
1822,0.143,0.376
1838,0.081,-0.063
1840,-0.456,-0.083
1845,0.745,0.089
1856,0.780,-0.072
1868,-0.109,0.428
1871,0.376,0.041
1883,-0.489,-0.088
1885,0.484,-0.031
1893,0.492,0.143
1898,0.574,0.004
1904,-0.616,0.085
1906,-0.567,-0.372
1918,0.073,0.189
1919,0.474,0.574
1926,0.561,-0.014
1927,0.207,0.397
1928,-0.214,-0.268
1929,-0.014,0.146
1932,0.315,0.443
1941,0.274,-0.086
1942,0.312,0.060
1946,-0.343,-0.117
1947,-0.405,0.122
1948,0.277,0.010
1955,0.048,0.121
1964,-0.401,-0.102
1980,-0.473,-0.079
1982,0.115,0.379
1994,-0.778,-0.161
2009,-0.403,-0.149
2010,0.780,-0.246
2011,-0.397,-0.029
2019,0.733,0.113
2044,0.662,0.144
2046,0.645,-0.517
2048,0.423,0.021
2050,0.122,0.048
2055,0.150,0.001
2057,-0.490,-0.083
2058,0.182,0.264
2060,0.172,0.040
2061,-0.119,-0.135
2062,0.488,0.633
2071,0.092,0.260
2072,0.382,-0.103
2078,0.238,0.005
2081,0.671,-0.221
2089,0.727,-0.383
2096,-0.050,0.004
2097,0.041,0.173
2106,-0.168,0.354
2111,0.030,0.264
2112,0.296,0.449
2129,0.101,0.084
2132,0.428,-0.189
2150,-0.170,-0.097
2160,0.481,-0.374
2166,0.530,-0.484
2172,0.409,-0.170
2174,-0.335,0.204
2177,0.538,0.057
2187,0.093,-0.039
2189,0.319,0.547
2201,0.344,0.458
2217,-0.093,0.067
2219,0.341,-0.023
2232,0.395,0.605
2236,0.204,0.101
2241,0.079,0.047
2245,-0.602,-0.043
2246,0.508,-0.094
2253,0.568,-0.028
2260,-0.710,-0.064
2263,0.013,0.068
2270,0.291,0.019
2273,-0.444,0.030
2274,0.601,0.039
2278,0.501,-0.120
2281,0.309,0.433
2289,0.023,-0.059
2293,0.454,-0.072
2294,-0.602,-0.290
2298,0.495,-0.042
2312,-0.429,-0.096
2316,0.146,0.498
2320,0.469,0.187
2322,-0.037,-0.109
2324,-0.091,-0.427
2331,0.335,0.404
2334,-0.361,-0.033
2338,-0.243,0.047
2339,0.257,0.051
2341,0.593,-0.201
2346,0.512,-0.234
2355,0.718,-0.108
2367,0.452,0.211
2371,0.365,0.334
2378,0.033,0.083
2379,0.067,0.111
2384,-0.818,-0.019
2408,-0.397,-0.299
2412,-0.066,-0.525
2420,0.221,-0.098
2421,0.195,0.459
2423,-0.033,0.080
2432,0.001,0.115
2433,-0.085,0.045
2439,-0.481,0.121
2446,0.658,-0.179
2447,0.234,0.087
2465,0.323,0.306
2468,0.252,0.067
2475,0.070,0.076
2477,0.007,-0.075
2481,0.780,-0.332
2482,-0.163,0.288
2494,0.368,0.515
2498,0.325,0.271
