,beta1,beta2,alpha
32214,-2.619,7.511,-0.479
32215,7.246,-4.571,0.531
32216,0.561,-1.711,1.088
32217,-3.465,9.754,-0.441
32218,9.119,-2.345,0.472
32219,9.638,-8.453,0.280
32220,2.227,-0.174,-1.294
32221,2.507,-0.779,-0.815
32222,-3.924,5.158,-0.634
32223,-4.417,-2.071,-0.206
32224,2.609,1.281,-0.527
32225,3.267,-1.229,0.022
32226,-3.218,0.643,-0.003
32227,4.489,-1.560,1.297
32228,8.319,2.109,-1.491
32229,2.701,1.929,0.466
32230,-7.098,0.038,-0.470
32231,7.699,0.491,-0.761
32232,2.373,1.996,0.606
32233,1.284,2.401,0.366
32234,7.406,1.581,-1.368
32235,3.360,4.509,1.204
32236,-6.478,1.808,0.025
32237,1.378,1.572,0.910
32238,8.516,-4.930,-0.302
32239,5.343,-3.106,0.034
32240,8.864,-8.954,-0.248
32241,6.400,-4.657,1.426
32242,-3.965,5.197,0.320
32243,-3.335,5.734,0.724
32244,7.944,-4.285,0.484
32245,-7.504,1.544,0.557
32246,8.930,-0.241,-0.921
32247,-6.181,3.347,0.754
32248,0.536,4.679,-0.061
32249,-9.584,1.954,-0.269
32250,2.836,-2.658,1.341
32251,2.546,0.459,-0.604
32252,-3.234,0.498,-0.336
32253,5.526,-0.152,-0.002
32254,5.233,-1.667,0.599
32255,7.142,-1.606,0.441
32256,5.738,-2.746,0.607
32257,7.296,-3.259,1.452
32258,0.591,5.298,1.045
32259,4.345,3.334,0.321
32260,6.190,-2.627,0.969
32261,-7.704,-2.089,0.398
32262,9.307,2.716,-1.544
32263,-1.914,0.448,0.338
32264,-5.758,0.863,0.287
32265,1.593,9.810,-0.731
32266,2.892,9.213,-0.420
32267,1.878,-1.290,1.013
32268,-7.645,-7.289,-1.584
32269,5.564,5.937,-0.185
32270,-3.418,6.669,0.171
32271,10.397,-5.340,1.365
32272,-7.154,-6.370,-1.440
32273,-7.652,-9.618,-0.294
32274,-1.211,1.265,-0.196
32275,-5.041,5.014,0.617
32276,5.754,-2.755,-0.054
32277,-3.016,-2.821,-0.616
32278,-0.134,2.714,0.696
32279,-3.533,0.147,-0.381
32280,5.523,-2.408,0.530
32281,3.848,-2.377,0.053
32282,2.127,-0.561,0.928
32283,0.179,-2.410,-0.117
32284,2.912,-1.418,0.607
32285,-2.599,0.549,-0.418
32286,-1.224,0.355,0.230
32287,-3.090,1.396,0.142
32288,3.824,-0.849,-0.113
