fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1918,0.8367,0.2546,,,,vae-2layer,0.0,0
0.1914,0.8378,0.2543,0.2,0.8243,0.2645,vae-2layer,0.3,0
0.191,0.8374,0.2545,0.1989,0.8229,0.2644,vae-2layer,0.3,1
0.1916,0.8386,0.2538,0.2005,0.8245,0.2644,vae-2layer,0.3,2
0.1918,0.8381,0.2549,0.2001,0.8242,0.2642,vae-2layer,0.3,3
0.1911,0.8394,0.2532,0.2012,0.8226,0.2658,vae-2layer,0.3,4
0.1906,0.8425,0.253,0.2054,0.8144,0.2712,vae-2layer,0.6,0
0.1914,0.8373,0.2539,0.2044,0.8169,0.2699,vae-2layer,0.6,1
0.1896,0.8424,0.2513,0.2062,0.8155,0.2716,vae-2layer,0.6,2
0.1871,0.8449,0.2513,0.2012,0.8198,0.2683,vae-2layer,0.6,3
0.1886,0.8455,0.2505,0.206,0.8166,0.2719,vae-2layer,0.6,4
0.2023,0.8278,0.2667,0.2368,0.7703,0.308,vae-2layer,0.9,0
0.1916,0.8367,0.2592,0.2309,0.772,0.308,vae-2layer,0.9,1
0.1732,0.866,0.2354,0.2285,0.7769,0.3054,vae-2layer,0.9,2
0.2063,0.8194,0.2703,0.2384,0.7687,0.308,vae-2layer,0.9,3
0.1945,0.8334,0.2615,0.2333,0.7678,0.3082,vae-2layer,0.9,4
