fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1884,0.8295,0.269,,,,ideal,0.0,0
0.1881,0.832,0.2683,0.1966,0.8135,0.2804,ideal,0.3,0
0.1879,0.8324,0.2678,0.1972,0.8131,0.2818,ideal,0.3,1
0.1869,0.8314,0.2673,0.1976,0.8149,0.2823,ideal,0.3,2
0.1875,0.8323,0.2679,0.1973,0.8158,0.2819,ideal,0.3,3
0.1864,0.8323,0.2669,0.1985,0.811,0.2842,ideal,0.3,4
0.1854,0.8385,0.2645,0.2026,0.8089,0.2889,ideal,0.6,0
0.186,0.8356,0.2651,0.2013,0.8101,0.2875,ideal,0.6,1
0.1836,0.838,0.2629,0.202,0.8079,0.2889,ideal,0.6,2
0.1865,0.8383,0.2659,0.2017,0.8088,0.2878,ideal,0.6,3
0.1841,0.8402,0.2633,0.2024,0.8062,0.2896,ideal,0.6,4
0.1685,0.8822,0.2444,0.2344,0.7723,0.3387,ideal,0.9,0
0.1714,0.8811,0.2481,0.2372,0.7701,0.3419,ideal,0.9,1
0.1688,0.8816,0.2452,0.2353,0.7681,0.3408,ideal,0.9,2
0.1784,0.8725,0.2558,0.2368,0.7688,0.3394,ideal,0.9,3
0.1725,0.8762,0.2491,0.2345,0.7718,0.3383,ideal,0.9,4
