,beta1,beta2,alpha
32214,-3.752,11.740,-0.499
32215,10.347,-6.947,0.517
32216,0.798,-2.675,1.093
32217,-4.973,15.239,-0.465
32218,13.004,-3.369,0.439
32219,13.755,-12.970,0.271
32220,3.145,-0.172,-1.305
32221,3.517,-1.133,-0.819
32222,-5.603,7.983,-0.637
32223,-6.254,-3.413,-0.176
32224,3.672,2.120,-0.544
32225,4.649,-1.801,0.010
32226,-4.578,0.882,0.011
32227,6.403,-2.290,1.281
32228,11.840,3.638,-1.540
32229,3.836,3.167,0.442
32230,-10.118,-0.192,-0.437
32231,10.965,1.054,-0.800
32232,3.367,3.269,0.583
32233,1.822,3.862,0.347
32234,10.540,2.785,-1.411
32235,4.758,7.282,1.166
32236,-9.240,2.626,0.047
32237,1.956,2.551,0.894
32238,12.164,-7.474,-0.321
32239,7.624,-4.703,0.022
32240,12.658,-13.794,-0.252
32241,9.138,-7.111,1.416
32242,-5.660,8.041,0.317
32243,-4.759,8.908,0.715
32244,11.338,-6.470,0.465
32245,-10.703,2.170,0.586
32246,12.733,-0.066,-0.963
32247,-8.823,5.055,0.769
32248,0.722,7.408,-0.083
32249,-13.676,2.749,-0.232
32250,4.038,-4.082,1.338
32251,3.581,0.825,-0.616
32252,-4.605,0.651,-0.321
32253,7.872,-0.038,-0.028
32254,7.463,-2.433,0.581
32255,10.184,-2.276,0.414
32256,8.190,-4.123,0.592
32257,10.410,-4.864,1.431
32258,0.822,8.394,1.017
32259,6.162,5.419,0.284
32260,8.834,-3.923,0.951
32261,-10.969,-3.552,0.443
32262,13.255,4.607,-1.600
32263,-2.712,0.631,0.346
32264,-8.200,1.144,0.311
32265,2.181,15.537,-0.779
32266,4.039,14.698,-0.476
32267,2.682,-1.945,1.007
32268,-10.860,-11.768,-1.516
32269,7.850,9.543,-0.237
32270,-4.887,10.402,0.158
32271,14.835,-8.046,1.340
32272,-10.164,-10.306,-1.378
32273,-10.824,-15.430,-0.215
32274,-1.739,1.925,-0.193
32275,-7.198,7.720,0.620
32276,8.207,-4.132,-0.069
32277,-4.272,-4.585,-0.586
32278,-0.195,4.278,0.683
32279,-5.028,0.093,-0.363
32280,7.884,-3.599,0.514
32281,5.481,-3.599,0.044
32282,3.025,-0.795,0.919
32283,0.264,-3.792,-0.107
32284,4.145,-2.117,0.597
32285,-3.700,0.760,-0.407
32286,-1.739,0.502,0.236
32287,-4.398,2.071,0.152
32288,5.430,-1.187,-0.128
