,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,alpha
32276,721.371,212.886,-1120.967,-15.592,-34.761,-565.768,-42.721,735.007,25.560,65.155,457.394
32277,52.471,-101.215,-70.516,-4.138,12.440,-473.474,10.211,102.387,170.090,38.716,143.406
32278,344.100,-86.403,-194.065,-7.509,18.085,-1071.820,-9.400,123.892,368.179,75.322,433.651
32279,-94.842,-5.623,386.222,-5.644,29.767,-18.080,4.114,-302.801,105.072,-16.485,-47.703
32280,-158.685,309.987,307.312,-12.594,-20.249,766.632,-12.500,-353.471,-198.621,-120.670,-278.391
32281,114.590,84.220,-56.067,-0.508,-0.038,-231.511,-16.953,-21.054,90.997,5.471,106.735
32282,104.020,90.612,-53.428,3.787,11.959,116.670,-19.454,-14.971,-14.138,7.009,-0.422
32283,127.865,54.508,-180.301,-2.519,1.643,-7.452,-10.528,113.433,-10.536,14.625,47.689
32284,64.046,65.817,-47.776,2.525,-2.368,-48.545,-12.014,-5.893,20.719,1.140,37.399
32285,259.309,-40.125,-398.970,-3.437,-1.378,-489.390,-10.533,312.582,110.769,56.537,238.573
32286,-55.302,-53.333,73.375,2.284,2.359,-42.095,5.632,-32.534,16.325,7.294,-9.392
32287,-44.609,-96.320,42.599,-3.652,-16.296,-564.088,10.027,3.110,161.289,3.360,153.814
32288,-222.951,84.389,146.451,7.888,2.614,890.792,-0.451,-114.498,-265.654,-48.464,-347.619
