candidateId,x,y
9,0.120,0.818
16,-0.162,-0.257
25,0.028,0.106
30,0.882,-0.456
31,0.779,-0.151
33,0.142,0.157
41,0.442,0.592
42,0.246,0.043
44,-0.862,0.095
49,0.592,0.586
58,0.377,0.087
59,0.436,0.618
67,0.875,0.199
68,0.844,-0.498
74,-0.898,-0.089
76,0.430,-0.713
95,-0.019,-0.052
104,-0.484,-0.353
106,0.813,-0.511
109,-0.326,0.480
111,0.605,0.803
114,0.494,0.540
117,0.067,-0.191
119,0.858,-0.246
120,-0.436,-0.261
122,-0.388,-0.296
123,0.804,-0.619
124,0.162,0.564
128,-0.736,-0.194
132,-0.459,-0.047
133,0.663,-0.058
134,0.425,0.376
145,0.565,0.820
148,0.602,-0.446
160,0.128,-0.153
171,-0.796,0.048
172,-0.645,-0.490
174,-0.409,-0.342
179,0.141,0.145
182,0.794,-0.492
185,0.010,-0.042
187,-0.182,-0.263
188,0.158,0.151
189,0.170,0.163
195,0.634,-0.298
206,0.680,-0.296
211,0.266,0.165
214,0.722,0.020
216,0.186,-0.105
217,0.792,-0.167
221,0.778,-0.477
238,-0.014,-0.146
252,-0.155,0.364
253,0.062,0.136
257,0.547,-0.486
264,0.005,-0.237
271,-0.354,-0.118
277,-0.313,-0.019
285,-0.278,-0.401
292,-0.245,0.144
295,0.645,0.084
297,0.886,-0.483
299,0.828,-0.176
301,0.215,0.180
308,-0.644,-0.098
313,0.571,-0.182
325,0.103,0.122
331,0.520,0.748
336,0.107,0.127
339,0.003,0.424
340,0.044,0.529
341,-0.866,0.401
342,0.722,0.554
346,0.098,-0.243
357,0.621,0.722
368,-0.673,-0.373
374,-0.069,0.698
386,0.225,0.013
388,0.107,0.234
389,0.307,0.337
391,0.296,-0.196
392,0.889,-0.681
395,-0.407,-0.324
398,-0.016,-0.155
404,0.860,-0.403
406,0.208,0.064
409,0.550,0.697
411,0.785,0.085
433,-0.579,-0.139
440,0.634,-0.126
449,0.202,0.346
450,0.531,-0.626
458,0.842,-0.370
466,0.008,0.200
469,-0.484,-0.149
480,0.183,0.336
492,0.890,-0.402
506,0.033,-0.065
520,0.869,-0.576
521,-0.017,-0.173
525,-0.247,0.285
535,0.741,-0.088
536,0.773,-0.011
539,-0.007,-0.194
545,0.142,-0.601
557,-0.157,-0.098
558,0.769,-0.245
563,0.465,0.029
571,0.807,-0.380
572,0.779,-0.594
576,0.204,0.200
596,-0.746,-0.079
598,0.589,0.081
605,0.623,0.119
614,0.252,0.141
616,0.157,0.375
617,0.062,0.150
625,0.755,-0.122
628,0.242,0.276
636,0.289,0.732
637,0.064,0.090
639,0.489,-0.361
650,0.092,0.202
668,0.554,-0.062
670,-0.421,-0.008
672,0.491,-0.350
674,0.828,-0.184
686,0.453,0.554
690,-0.759,0.101
699,0.096,0.629
701,0.052,0.545
702,0.249,0.145
707,0.522,-0.802
712,0.205,0.143
715,-0.379,0.464
716,-0.690,-0.182
731,0.850,-0.413
734,0.356,-0.534
741,0.088,0.098
749,0.326,0.513
756,0.691,-0.009
760,0.804,0.053
776,0.792,-0.526
780,0.039,0.462
786,0.158,0.205
795,0.445,0.591
798,0.205,-0.301
806,0.635,-0.342
810,0.840,-0.197
813,0.860,-0.315
814,0.169,0.289
823,-0.016,0.000
825,-0.216,-0.284
834,0.086,0.023
835,0.088,-0.144
838,-0.115,-0.132
841,0.587,-0.042
846,-0.594,-0.123
847,0.219,0.523
848,0.873,-0.395
857,0.346,0.469
863,0.601,0.739
873,0.455,0.715
875,0.458,0.663
876,0.722,-0.664
880,0.090,-0.051
882,-0.204,-0.226
889,0.122,-0.052
900,0.103,0.242
905,-0.635,-0.217
911,0.261,0.384
912,-0.889,-0.047
914,-0.189,0.819
915,-0.352,-0.458
918,0.830,-0.096
930,-0.162,0.445
939,0.784,0.221
950,0.627,0.203
957,-0.730,0.235
969,0.589,-0.837
981,0.698,0.788
983,-0.899,-0.135
990,0.179,0.246
991,0.296,0.666
1007,-0.455,-0.098
1012,-0.179,0.755
1018,0.555,-0.338
1020,-0.476,-0.212
1021,0.363,0.040
1026,0.532,0.171
1048,-0.524,-0.350
1067,0.830,-0.579
1071,-0.623,-0.640
1072,-0.188,0.007
1077,0.178,0.295
1094,-0.149,0.049
1098,0.359,0.232
1103,0.433,-0.226
1113,0.774,-0.603
1117,0.613,0.025
1138,0.847,-0.441
1145,0.908,-0.014
1150,0.182,-0.168
1156,-0.542,0.045
1164,0.647,-0.037
1172,0.717,-0.580
1174,0.344,0.762
1176,0.291,0.356
1178,-0.650,-0.330
1183,0.721,-0.077
1196,0.696,-0.032
1204,-0.526,0.148
1214,-0.442,-0.511
1231,-0.065,0.353
1232,0.275,-0.084
1240,0.827,-0.555
1242,0.443,0.253
1249,0.074,-0.004
1251,0.184,0.212
1265,0.853,-0.117
1266,0.884,-0.384
1268,0.308,-0.131
1273,0.227,-0.058
1282,0.709,0.570
1290,0.321,0.224
1293,0.548,0.101
1297,-0.137,0.808
1306,0.133,-0.261
1316,0.483,0.231
1328,-0.716,-0.140
1331,0.076,0.122
1334,0.896,-0.441
1349,-0.766,-0.064
1359,0.171,0.279
1368,0.553,0.689
1373,-0.008,-0.139
1374,0.122,0.137
1382,0.298,0.040
1391,0.163,0.490
1395,0.846,-0.360
1396,-0.173,-0.411
1430,0.858,-0.441
1433,0.222,0.374
1442,0.522,0.614
1453,0.282,0.163
1456,0.861,-0.461
1458,-0.853,0.053
1464,-0.319,-0.207
1466,0.118,0.157
1471,0.839,-0.605
1480,0.841,-0.504
1497,-0.490,-0.015
1502,-0.885,-0.354
1505,0.374,0.188
1531,0.272,0.124
1533,-0.113,0.679
1538,0.749,0.666
1553,0.073,0.185
1561,-0.631,0.871
1564,-0.469,-0.662
1569,-0.712,0.047
1574,-0.122,-0.051
1575,0.807,-0.361
1577,-0.300,-0.416
1585,-0.735,0.045
1592,0.244,0.113
1596,-0.460,0.028
1610,-0.241,0.261
1611,0.578,0.425
1612,0.486,0.731
1651,-0.850,-0.055
1659,-0.077,-0.204
1665,-0.908,-0.035
1666,0.572,0.755
1670,-0.063,-0.085
1682,0.796,-0.461
1694,0.685,0.244
1702,-0.356,-0.394
1706,0.009,-0.181
1728,0.282,0.317
1733,0.474,0.630
1740,-0.117,0.005
1750,0.851,-0.398
1754,0.822,0.053
1755,0.866,-0.409
1760,-0.389,-0.212
1761,-0.300,-0.229
1769,-0.228,0.422
1770,-0.116,0.710
1783,0.694,-0.140
1786,0.220,0.144
1787,0.450,-0.042
1788,-0.400,-0.139
1791,-0.578,-0.267
1822,0.266,0.626
1838,0.080,-0.138
1840,-0.664,-0.160
1845,0.870,0.021
1856,0.878,-0.255
1868,-0.070,0.698
1871,0.509,0.024
1883,-0.703,-0.155
1885,0.644,-0.121
1893,0.694,0.203
1898,0.749,-0.082
1904,-0.805,0.186
1906,-0.835,-0.621
1918,0.129,0.303
1919,0.696,0.815
1926,0.733,-0.110
1927,0.356,0.649
1928,-0.376,-0.501
1929,0.001,0.234
1932,0.512,0.715
1941,0.334,-0.206
1942,0.423,0.061
1946,-0.516,-0.221
1947,-0.544,0.216
1948,0.362,-0.031
1955,0.079,0.187
1964,-0.588,-0.185
