,beta1,beta2,alpha
32214,-4.966,16.855,-0.508
32215,14.240,-10.207,0.516
32216,1.053,-3.838,1.095
32217,-6.585,21.879,-0.478
32218,18.009,-5.181,0.433
32219,18.842,-18.891,0.274
32220,4.380,-0.344,-1.307
32221,4.882,-1.726,-0.821
32222,-7.623,11.550,-0.641
32223,-8.785,-4.673,-0.168
32224,5.163,2.907,-0.549
32225,6.434,-2.708,0.008
32226,-6.354,1.396,0.013
32227,8.860,-3.451,1.279
32228,16.560,4.837,-1.554
32229,5.409,4.400,0.436
32230,-14.080,0.025,-0.429
32231,15.280,1.179,-0.809
32232,4.757,4.561,0.577
32233,2.620,5.454,0.341
32234,14.734,3.660,-1.423
32235,6.782,10.243,1.155
32236,-12.801,4.020,0.052
32237,2.776,3.578,0.891
32238,16.760,-11.015,-0.323
32239,10.509,-6.935,0.021
32240,17.303,-20.037,-0.247
32241,12.553,-10.400,1.416
32242,-7.704,11.638,0.312
32243,-6.437,12.855,0.709
32244,15.627,-9.554,0.463
32245,-14.845,3.412,0.592
32246,17.717,-0.471,-0.973
32247,-12.173,7.474,0.770
32248,1.168,10.542,-0.091
32249,-18.963,4.320,-0.225
32250,5.533,-5.940,1.339
32251,5.012,1.065,-0.620
32252,-6.396,1.068,-0.318
32253,10.954,-0.288,-0.033
32254,10.330,-3.690,0.578
32255,14.116,-3.544,0.409
32256,11.306,-6.121,0.590
32257,14.371,-7.234,1.428
32258,1.326,11.950,1.008
32259,8.697,7.540,0.274
32260,12.204,-5.852,0.949
32261,-15.341,-4.735,0.455
32262,18.551,6.176,-1.616
32263,-3.763,0.980,0.347
32264,-11.387,1.877,0.316
32265,3.381,22.089,-0.797
32266,5.946,20.831,-0.494
32267,3.690,-2.853,1.008
32268,-15.363,-16.452,-1.495
32269,11.139,13.368,-0.252
32270,-6.578,14.984,0.151
32271,20.450,-11.900,1.337
32272,-14.364,-14.390,-1.360
32273,-15.397,-21.673,-0.191
32274,-2.376,2.795,-0.194
32275,-9.855,11.228,0.617
32276,11.330,-6.135,-0.071
32277,-6.046,-6.410,-0.579
32278,-0.180,6.110,0.679
32279,-6.997,0.282,-0.360
32280,10.893,-5.366,0.512
32281,7.553,-5.296,0.044
32282,4.195,-1.222,0.917
32283,0.286,-5.415,-0.103
32284,5.724,-3.141,0.597
32285,-5.135,1.196,-0.405
32286,-2.411,0.769,0.236
32287,-6.077,3.086,0.153
32288,7.535,-1.856,-0.131
