fit_mae,fit_accuracy,fit_rmse,impute_mae,impute_accuracy,impute_rmse,model,sparsity,seed
0.1926,0.8259,0.2749,,,,tsne-logistic,0.0,0
0.2076,0.8102,0.2883,0.2103,0.8055,0.2912,tsne-logistic,0.3,0
0.2068,0.8086,0.2878,0.2123,0.8033,0.2944,tsne-logistic,0.3,1
0.2053,0.812,0.2877,0.2095,0.8019,0.2922,tsne-logistic,0.3,2
0.2045,0.8099,0.2861,0.2099,0.7986,0.2939,tsne-logistic,0.3,3
0.1967,0.8228,0.2785,0.2019,0.8117,0.2855,tsne-logistic,0.3,4
0.2058,0.8113,0.2871,0.2177,0.7927,0.3009,tsne-logistic,0.6,0
0.2004,0.8189,0.2815,0.2161,0.7954,0.3023,tsne-logistic,0.6,1
0.1994,0.8229,0.2804,0.2143,0.799,0.2991,tsne-logistic,0.6,2
0.1973,0.8228,0.2787,0.2132,0.7991,0.2994,tsne-logistic,0.6,3
0.2029,0.8147,0.2839,0.2143,0.7964,0.2977,tsne-logistic,0.6,4
0.242,0.7914,0.3143,0.2863,0.7126,0.3708,tsne-logistic,0.9,0
0.2753,0.7605,0.3397,0.3196,0.6772,0.3956,tsne-logistic,0.9,1
0.2474,0.7819,0.3201,0.2888,0.7038,0.3737,tsne-logistic,0.9,2
0.2463,0.7793,0.3185,0.2912,0.6982,0.3754,tsne-logistic,0.9,3
0.2422,0.7804,0.3142,0.2846,0.7136,0.3682,tsne-logistic,0.9,4
