candidateId,x,y
9,0.061,0.699
16,-0.113,-0.176
25,0.021,0.094
30,0.850,-0.269
31,0.702,-0.062
33,0.114,0.130
41,0.336,0.455
42,0.213,0.053
44,-0.790,0.046
49,0.461,0.450
58,0.321,0.084
59,0.330,0.476
67,0.818,0.219
68,0.799,-0.310
74,-0.845,-0.109
76,0.425,-0.506
95,-0.007,-0.025
104,-0.378,-0.251
106,0.760,-0.318
109,-0.306,0.359
111,0.490,0.688
114,0.381,0.415
117,0.078,-0.124
119,0.809,-0.122
120,-0.346,-0.183
122,-0.302,-0.209
123,0.757,-0.413
124,0.099,0.426
128,-0.608,-0.138
132,-0.382,-0.031
133,0.576,-0.006
134,0.336,0.291
145,0.459,0.713
148,0.544,-0.283
160,0.126,-0.096
171,-0.696,0.022
172,-0.497,-0.343
174,-0.315,-0.241
179,0.115,0.120
182,0.736,-0.307
185,0.017,-0.016
187,-0.131,-0.185
188,0.129,0.127
189,0.137,0.134
195,0.564,-0.174
206,0.605,-0.176
211,0.220,0.137
214,0.625,0.052
216,0.174,-0.056
217,0.718,-0.072
221,0.715,-0.291
238,0.004,-0.095
252,-0.155,0.280
253,0.047,0.112
257,0.502,-0.316
264,0.028,-0.161
271,-0.287,-0.078
277,-0.261,-0.006
285,-0.199,-0.283
292,-0.215,0.117
295,0.547,0.091
297,0.855,-0.291
299,0.766,-0.072
301,0.175,0.150
308,-0.532,-0.066
313,0.502,-0.095
325,0.084,0.103
331,0.404,0.608
336,0.087,0.108
339,-0.023,0.328
340,0.001,0.398
341,-0.808,0.283
342,0.581,0.433
346,0.107,-0.163
357,0.487,0.579
368,-0.534,-0.264
374,-0.103,0.548
386,0.197,0.026
388,0.078,0.186
389,0.240,0.264
391,0.273,-0.122
392,0.868,-0.468
395,-0.314,-0.226
398,0.003,-0.103
404,0.818,-0.230
406,0.179,0.064
409,0.427,0.555
411,0.696,0.111
433,-0.476,-0.099
440,0.553,-0.055
449,0.151,0.269
450,0.500,-0.425
458,0.793,-0.208
466,-0.003,0.163
469,-0.395,-0.104
480,0.135,0.261
492,0.860,-0.228
506,0.038,-0.034
520,0.836,-0.368
521,0.003,-0.116
525,-0.227,0.215
535,0.655,-0.021
536,0.685,0.036
539,0.014,-0.127
545,0.171,-0.422
557,-0.123,-0.063
558,0.696,-0.129
563,0.400,0.049
571,0.747,-0.219
572,0.725,-0.388
576,0.165,0.163
596,-0.631,-0.064
598,0.498,0.081
605,0.525,0.116
614,0.209,0.119
616,0.110,0.289
617,0.048,0.127
625,0.672,-0.045
628,0.190,0.217
636,0.202,0.580
637,0.054,0.083
639,0.446,-0.233
650,0.068,0.162
668,0.482,-0.012
670,-0.354,-0.004
672,0.446,-0.219
674,0.764,-0.080
686,0.345,0.424
690,-0.659,0.063
699,0.040,0.481
701,0.008,0.414
702,0.208,0.128
707,0.528,-0.631
712,0.171,0.124
715,-0.351,0.339
716,-0.565,-0.125
731,0.805,-0.238
734,0.346,-0.362
741,0.073,0.086
749,0.243,0.391
756,0.597,0.028
760,0.721,0.090
776,0.735,-0.335
780,0.004,0.357
786,0.125,0.165
795,0.338,0.454
798,0.204,-0.198
806,0.567,-0.207
810,0.783,-0.093
813,0.815,-0.170
814,0.127,0.227
823,-0.008,0.015
825,-0.158,-0.201
834,0.078,0.034
835,0.093,-0.088
838,-0.082,-0.083
841,0.506,-0.001
846,-0.488,-0.082
847,0.152,0.400
848,0.836,-0.223
857,0.264,0.363
863,0.474,0.602
873,0.345,0.569
875,0.348,0.519
876,0.673,-0.452
880,0.087,-0.020
882,-0.150,-0.154
889,0.114,-0.023
900,0.074,0.191
905,-0.515,-0.153
911,0.199,0.299
912,-0.831,-0.075
914,-0.210,0.702
915,-0.257,-0.326
918,0.766,-0.013
930,-0.167,0.336
939,0.681,0.206
950,0.522,0.176
957,-0.633,0.165
969,0.607,-0.700
981,0.566,0.665
983,-0.845,-0.151
990,0.141,0.200
991,0.208,0.513
1007,-0.374,-0.065
1012,-0.201,0.608
1018,0.499,-0.210
1020,-0.383,-0.149
1021,0.312,0.051
1026,0.444,0.146
1048,-0.411,-0.247
1067,0.784,-0.377
1071,-0.468,-0.458
1072,-0.157,0.016
1077,0.135,0.232
1094,-0.126,0.044
1098,0.293,0.188
1103,0.391,-0.137
1113,0.721,-0.395
