,beta1,beta2,alpha
32214,-2.175,5.933,-0.458
32215,6.180,-3.857,0.544
32216,0.463,-1.342,1.081
32217,-2.866,7.702,-0.414
32218,7.809,-2.203,0.502
32219,8.200,-6.983,0.287
32220,1.947,-0.239,-1.286
32221,2.210,-0.703,-0.817
32222,-3.331,4.177,-0.628
32223,-3.869,-1.443,-0.234
32224,2.304,0.878,-0.511
32225,2.810,-1.115,0.034
32226,-2.775,0.661,-0.018
32227,3.860,-1.419,1.312
32228,7.196,1.246,-1.443
32229,2.357,1.345,0.492
32230,-6.105,0.336,-0.502
32231,6.640,0.040,-0.725
32232,2.075,1.400,0.631
32233,1.139,1.771,0.388
32234,6.411,0.870,-1.325
32235,2.967,3.298,1.243
32236,-5.556,1.672,0.005
32237,1.204,1.109,0.928
32238,7.265,-4.188,-0.286
32239,4.573,-2.652,0.045
32240,7.530,-7.325,-0.248
32241,5.457,-3.884,1.433
32242,-3.362,4.198,0.326
32243,-2.819,4.579,0.737
32244,6.783,-3.661,0.501
32245,-6.444,1.528,0.530
32246,7.684,-0.560,-0.886
32247,-5.287,2.856,0.743
32248,0.548,3.596,-0.037
32249,-8.208,1.910,-0.301
32250,2.438,-2.194,1.342
32251,2.249,0.245,-0.595
32252,-2.788,0.554,-0.352
32253,4.765,-0.361,0.023
32254,4.492,-1.534,0.617
32255,6.127,-1.557,0.467
32256,4.912,-2.379,0.621
32257,6.250,-2.857,1.473
32258,0.591,4.047,1.075
32259,3.801,2.391,0.360
32260,5.298,-2.290,0.984
32261,-6.664,-1.309,0.357
32262,8.051,1.710,-1.494
32263,-1.659,0.427,0.331
32264,-4.957,0.940,0.262
32265,1.565,7.493,-0.683
32266,2.661,6.914,-0.359
32267,1.598,-1.123,1.020
32268,-6.664,-5.307,-1.653
32269,4.924,4.365,-0.133
32270,-2.871,5.290,0.187
32271,8.877,-4.585,1.388
32272,-6.233,-4.616,-1.504
32273,-6.741,-7.105,-0.374
32274,-1.015,1.076,-0.202
32275,-4.291,4.108,0.618
32276,4.927,-2.390,-0.040
32277,-2.650,-2.028,-0.647
32278,-0.083,2.102,0.710
32279,-3.052,0.280,-0.399
32280,4.731,-2.101,0.544
32281,3.303,-2.020,0.059
32282,1.839,-0.541,0.937
32283,0.121,-1.871,-0.128
32284,2.507,-1.240,0.615
32285,-2.244,0.554,-0.430
32286,-1.057,0.339,0.224
32287,-2.656,1.235,0.131
32288,3.307,-0.834,-0.099
