voter,party,color
1575774,SVP,#4F7942
1580219,EDU,#00008B
1581724,SVP,#4F7942
1583555,Sonstige,#888888
1585476,SVP,#4F7942
1586152,SP,#FF0000
1586326,SVP,#4F7942
1586380,SVP,#4F7942
1589285,GLP,#32CD32
1590273,SP,#FF0000
1592116,GLP,#32CD32
1592229,SVP,#4F7942
1592299,Grüne,#008000
1611587,Mitte,#C56C46
1613114,Grüne,#008000
1615439,SVP,#4F7942
1615926,FDP,#0000FF
1616164,FDP,#0000FF
1617713,SVP,#4F7942
1619239,SVP,#4F7942
1620881,Mitte,#C56C46
1621777,GLP,#32CD32
1622855,SP,#FF0000
1623094,SP,#FF0000
1625577,SP,#FF0000
1627750,SVP,#4F7942
1629724,Grüne,#008000
1633363,Grüne,#008000
1633844,SP,#FF0000
1637132,GLP,#32CD32
1637582,Mitte,#C56C46
1638880,EVP,#FFA500
1639530,SVP,#4F7942
1640641,GLP,#32CD32
1643071,SP,#FF0000
1643223,SP,#FF0000
1643537,FDP,#0000FF
1644469,SVP,#4F7942
1647778,FDP,#0000FF
1648004,SVP,#4F7942
1649926,FDP,#0000FF
1651926,FDP,#0000FF
1652237,Mitte,#C56C46
1653865,Mitte,#C56C46
1656275,Sonstige,#888888
1656814,SVP,#4F7942
1658992,FDP,#0000FF
1659254,SP,#FF0000
1660253,SP,#FF0000
1660318,Grüne,#008000
