voter,party,color
1158755,SVP,#4F7942
1160462,Grüne,#008000
1162830,FDP,#0000FF
1163033,SP,#FF0000
1164799,SVP,#4F7942
1165214,SP,#FF0000
1165285,FDP,#0000FF
1166102,Mitte,#C56C46
1166855,Sonstige,#888888
1168055,FDP,#0000FF
1168225,GLP,#32CD32
1171773,FDP,#0000FF
1171974,SVP,#4F7942
1172041,SP,#FF0000
1172284,SVP,#4F7942
1172806,SVP,#4F7942
1173830,Grüne,#008000
1174509,FDP,#0000FF
1174944,SP,#FF0000
1176833,SVP,#4F7942
1176899,SVP,#4F7942
1177109,SVP,#4F7942
1177461,FDP,#0000FF
1177648,FDP,#0000FF
1177933,SP,#FF0000
1178230,FDP,#0000FF
1179284,SP,#FF0000
1181771,SVP,#4F7942
1183480,SVP,#4F7942
1183843,EVP,#FFA500
1184947,FDP,#0000FF
1185450,SVP,#4F7942
1187264,FDP,#0000FF
1191369,SVP,#4F7942
1193214,SVP,#4F7942
1195072,SP,#FF0000
1195692,SVP,#4F7942
1195951,GLP,#32CD32
1195960,SVP,#4F7942
1198168,Mitte,#C56C46
1198468,SP,#FF0000
1198592,Sonstige,#888888
1199270,SVP,#4F7942
1199294,SP,#FF0000
1201570,GLP,#32CD32
1210442,GLP,#32CD32
1211533,GLP,#32CD32
1215569,FDP,#0000FF
1216841,GLP,#32CD32
1217963,Mitte,#C56C46
1220428,SVP,#4F7942
1220633,SVP,#4F7942
1220695,SVP,#4F7942
1221700,Mitte,#C56C46
1223160,Sonstige,#888888
1225414,FDP,#0000FF
1225429,FDP,#0000FF
