voter,32214,32215,32216,32217,32218,32219,32220,32221,32222,32223,32224,32225,32226,32227,32228,32229,32230,32231,32232,32233,32234,32235,32236,32237,32238,32239,32240,32241,32242,32243,32244,32245,32246,32247,32248,32249,32250,32251,32252,32253,32254,32255,32256,32257,32258,32259,32260,32261,32262,32263,32264,32265,32266,32267,32268,32269,32270,32271,32272,32273,32274,32275,32276,32277,32278,32279,32280,32281,32282,32283,32284,32285,32286,32287,32288
3613,1.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.25,0.0,0.0,1.0,0.0,0.25,0.75,0.0,0.75,0.75,0.75,0.0,0.25,0.0,0.75,0.25,0.0,0.0,0.75,0.0,1.0,0.75,1.0,0.75,0.75,1.0,0.25,0.75,0.75,0.75,0.0,0.25,0.25,0.25,1.0,0.0,0.75,0.25,0.0,0.0,0.75,1.0,0.0,0.75,0.25,1.0,0.75,0.83,0.83,0.5,0.67,0.5,1.0,0.33,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3664,0.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.75,0.0,1.0,1.0,0.0,0.25,1.0,0.25,0.75,1.0,1.0,0.25,0.25,0.0,0.75,0.75,1.0,0.0,1.0,1.0,0.25,0.25,0.25,1.0,1.0,0.0,0.75,0.75,1.0,0.25,0.75,0.75,0.75,1.0,1.0,1.0,0.0,0.75,0.0,0.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.75,0.25,0.83,0.33,0.67,0.0,0.83,0.83,0.67,0.75,0.75,0.0,0.75,0.25,0.75,0.0,0.5
5899,0.0,1.0,1.0,0.0,0.0,0.75,0.25,0.25,0.75,0.25,0.0,1.0,0.75,1.0,0.0,0.0,1.0,0.0,0.75,1.0,0.0,0.25,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.0,0.75,1.0,0.0,1.0,0.25,0.75,0.25,1.0,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.0,0.75,0.75,0.25,0.75,0.25,1.0,0.0,0.75,1.0,0.75,0.75,1.0,0.83,0.67,1.0,0.67,0.67,0.33,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5
9268,0.75,0.75,1.0,0.75,0.75,0.0,1.0,0.75,0.0,0.0,1.0,0.25,1.0,0.75,0.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,0.0,1.0,0.75,0.0,1.0,0.75,0.75,1.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.67,0.33,0.0,0.67,0.83,0.0,0.5,0.75,0.5,0.25,1.0,0.75,0.75,1.0
10160,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.75,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.75,0.0,1.0,0.75,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.33,0.33,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0
10641,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,0.25,0.0,0.75,1.0,0.75,0.0,1.0,0.25,1.0,0.0,0.0,0.67,0.0,1.0,0.0,0.67,0.17,1.0,1.0,1.0,0.25,1.0,0.0,0.25,0.0,1.0
12453,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
15191,1.0,0.75,1.0,0.25,0.75,0.75,1.0,0.75,0.25,0.0,1.0,1.0,0.75,1.0,0.75,1.0,0.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,0.75,0.75,1.0,0.75,1.0,0.25,1.0,0.25,1.0,1.0,0.75,0.0,0.75,0.75,0.25,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.25,0.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,0.67,1.0,0.33,0.0,1.0,0.17,0.83,0.75,1.0,0.25,0.5,0.5,0.75,0.0,0.75
17215,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.83,0.67,0.17,0.83,0.67,0.17,0.67,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.25
