respondentId,party,color
9956,CH,#b19246
9957,IS,#2ca02c
9958,CH,#b19246
9959,GB,#7fa047
9960,HR,#bc8144
9961,NL,#8c974b
9962,FI,#2b8384
9963,IT,#ce893f
9964,ES,#eeb33e
9965,HU,#ac7c49
9966,DE,#918e4e
9967,NL,#8c974b
9968,ES,#eeb33e
9969,RU,#61667a
9970,AM,#d1322e
9971,HR,#bc8144
9972,NO,#3d8e61
9973,SI,#b58346
9974,IS,#2ca02c
9975,RO,#b06e48
9976,CH,#b19246
9977,BY,#7b7261
9978,CZ,#97854f
9979,GE,#c43d39
9980,EE,#507d73
9981,SI,#b58346
9982,DE,#918e4e
9983,GB,#7fa047
9984,DK,#6b8e57
9985,MK,#d0733c
9986,AL,#d87539
9987,GE,#c43d39
9988,AL,#d87539
9989,BY,#7b7261
9990,ES,#eeb33e
9991,IS,#2ca02c
9992,DK,#6b8e57
9993,IS,#2ca02c
9994,DK,#6b8e57
9995,ME,#d1783c
9996,GE,#c43d39
9997,RU,#61667a
9998,GE,#c43d39
9999,AL,#d87539
10000,DK,#6b8e57
10001,FI,#2b8384
10002,RO,#b06e48
10003,DK,#6b8e57
10004,RO,#b06e48
10005,AL,#d87539
10006,LT,#6e7a64
10007,HR,#bc8144
10008,DK,#6b8e57
10009,BA,#c37c41
10010,GE,#c43d39
10011,NO,#3d8e61
10012,AL,#d87539
10013,CH,#b19246
10014,HR,#bc8144
10015,HU,#ac7c49
10016,CZ,#97854f
10017,AT,#ae8648
10018,ES,#eeb33e
10019,AM,#d1322e
10020,SI,#b58346
10021,FR,#b49f44
10022,BY,#7b7261
10023,ME,#d1783c
10024,DE,#918e4e
10025,BA,#c37c41
10026,IT,#ce893f
10027,RS,#c17541
10028,CH,#b19246
10029,MK,#d0733c
10030,IT,#ce893f
10031,DK,#6b8e57
10032,AL,#d87539
10033,DK,#6b8e57
10034,PT,#f8bf3f
10035,SK,#9d7d4f
10036,NO,#3d8e61
10037,RU,#61667a
10038,SK,#9d7d4f
10039,PT,#f8bf3f
10040,SK,#9d7d4f
10041,AM,#d1322e
10042,PL,#867f57
10043,NO,#3d8e61
10044,PT,#f8bf3f
10045,EE,#507d73
10046,CH,#b19246
10047,NL,#8c974b
10048,RO,#b06e48
10049,LT,#6e7a64
10050,HU,#ac7c49
10051,AM,#d1322e
10052,DK,#6b8e57
10053,GB,#7fa047
10054,AM,#d1322e
10055,DK,#6b8e57
10056,SI,#b58346
10057,PL,#867f57
10058,HR,#bc8144
10059,AZ,#cf2a2d
10060,IS,#2ca02c
10061,PL,#867f57
