respondentId,party,color
9077,GE,#c43d39
9078,EE,#507d73
9079,CH,#b19246
9080,GB,#7fa047
9081,FI,#2b8384
9082,NO,#3d8e61
9083,PT,#f8bf3f
9084,DK,#6b8e57
9085,ME,#d1783c
9086,ES,#eeb33e
9087,PT,#f8bf3f
9088,RU,#61667a
9089,AM,#d1322e
9090,BY,#7b7261
9091,CH,#b19246
9092,GB,#7fa047
9093,BA,#c37c41
9094,NO,#3d8e61
9095,DK,#6b8e57
9096,PL,#867f57
9097,MK,#d0733c
9098,CH,#b19246
9099,SK,#9d7d4f
9100,FI,#2b8384
9101,AZ,#cf2a2d
9102,RS,#c17541
9103,DK,#6b8e57
9104,HR,#bc8144
9105,BG,#c66a3e
9106,MK,#d0733c
9107,DK,#6b8e57
9108,NL,#8c974b
9109,SK,#9d7d4f
9110,GE,#c43d39
9111,HR,#bc8144
9112,CH,#b19246
9113,ES,#eeb33e
9114,CH,#b19246
9115,AL,#d87539
9116,EE,#507d73
9117,GB,#7fa047
9118,IS,#2ca02c
9119,NL,#8c974b
9120,BY,#7b7261
9121,AT,#ae8648
9122,RU,#61667a
9123,RO,#b06e48
9124,PL,#867f57
9125,BY,#7b7261
9126,IS,#2ca02c
9127,SI,#b58346
9128,AM,#d1322e
9129,HR,#bc8144
9130,PL,#867f57
9131,IT,#ce893f
9132,NL,#8c974b
9133,FR,#b49f44
9134,ES,#eeb33e
9135,CZ,#97854f
9136,CZ,#97854f
9137,CH,#b19246
9138,NO,#3d8e61
9139,GB,#7fa047
9140,HR,#bc8144
9141,NO,#3d8e61
9142,AT,#ae8648
9143,RS,#c17541
9144,NO,#3d8e61
9145,ES,#eeb33e
9146,SE,#3c8a6a
9147,HR,#bc8144
9148,NO,#3d8e61
9149,DK,#6b8e57
9150,CZ,#97854f
9151,AT,#ae8648
9152,FI,#2b8384
9153,CZ,#97854f
9154,DK,#6b8e57
9155,BG,#c66a3e
9156,CZ,#97854f
9157,DE,#918e4e
9158,MK,#d0733c
9159,CH,#b19246
9160,RO,#b06e48
9161,HU,#ac7c49
9162,EE,#507d73
9163,PT,#f8bf3f
9164,IT,#ce893f
9165,PL,#867f57
9166,SK,#9d7d4f
9167,SK,#9d7d4f
9168,AL,#d87539
9169,BG,#c66a3e
9170,AZ,#cf2a2d
9171,HU,#ac7c49
9172,FR,#b49f44
9173,CH,#b19246
9174,PL,#867f57
9175,CZ,#97854f
9176,PL,#867f57
9177,NO,#3d8e61
9178,CH,#b19246
9179,BA,#c37c41
9180,NL,#8c974b
9181,PT,#f8bf3f
9182,CH,#b19246
9183,RU,#61667a
9184,PT,#f8bf3f
9185,AM,#d1322e
9186,DK,#6b8e57
9187,DK,#6b8e57
9188,NO,#3d8e61
9189,AT,#ae8648
9190,FR,#b49f44
9191,NO,#3d8e61
9192,BY,#7b7261
9193,DE,#918e4e
9194,NL,#8c974b
9195,GB,#7fa047
9196,FI,#2b8384
9197,SI,#b58346
9198,DK,#6b8e57
9199,AZ,#cf2a2d
9200,FR,#b49f44
9201,SK,#9d7d4f
9202,FR,#b49f44
9203,SE,#3c8a6a
9204,AZ,#cf2a2d
9205,CZ,#97854f
9206,IS,#2ca02c
9207,CZ,#97854f
9208,RO,#b06e48
9209,BA,#c37c41
9210,IS,#2ca02c
9211,ME,#d1783c
9212,DE,#918e4e
9213,FR,#b49f44
9214,AM,#d1322e
